City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Wanning,CN,79.56,overcast clouds,18.8,110.4,Paradise Hotel
Narasannapeta,IN,78.62,scattered clouds,18.42,84.05,G.lingaraju home
Kampong Chhnang,KH,81.36,broken clouds,12.17,104.55,រមណីយដ្ឋាន ទឹកធ្លាក់ស្រែអំពិល
Muscat,OM,82.4,scattered clouds,23.61,58.59,Mutrah Hotel
Tsabong,BW,75.24,scattered clouds,-26.02,22.4,Springbok Motel
Ouallam,NE,89.62,scattered clouds,14.32,2.09,
Puerto Suarez,BO,76.1,scattered clouds,-18.95,-57.8,Hotel casa real
Chateaubelair,VC,77.0,clear sky,13.28,-61.25,Richmond Vale Diving & Hiking Center
Bathsheba,BB,80.6,few clouds,13.22,-59.52,Atlantis Hotel
Bhatgaon,IN,80.78,scattered clouds,21.15,81.7,IIT Bhilai Hostel(Castle Dio)
Kui Buri,TH,80.6,few clouds,12.08,99.85,ริสต้า รีสอร์ท
Naliya,IN,77.7,scattered clouds,23.27,68.83,Hotel Panchvati
Kidal,ML,86.61,broken clouds,18.44,1.41,
Atambua,ID,78.87,few clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
Itaunja,IN,75.2,haze,27.08,80.92,Shivanand Hotel
Pascagoula,US,77.0,broken clouds,30.37,-88.56,Regency Inn
Porto Novo,BJ,82.26,overcast clouds,6.5,2.6,Tour Eiffel Hotel Benin
Araouane,ML,84.16,clear sky,18.9,-3.53,
Kailua,US,84.2,clear sky,21.4,-157.74,Sheffield House Bed & Breakfast
Port Blair,IN,83.32,few clouds,11.67,92.75,Hotel Sentinel
Tonj,SS,76.77,overcast clouds,7.27,28.68,
Belmonte,BR,77.0,overcast clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
Hobyo,SO,84.02,overcast clouds,5.35,48.53,
Matara,LK,77.85,few clouds,5.95,80.54,Amaloh Boutique Resort
Kendari,ID,80.46,scattered clouds,-3.94,122.5,Hotel Wixel
Ahuimanu,US,84.2,clear sky,21.44,-157.84,Paradise Bay Resort
Yarada,IN,80.6,mist,17.65,83.27,"D-26/2, Dolphin Hill,"
Puerto Escondido,MX,84.2,clear sky,15.85,-97.07,Aldea del Bazar Hotel and Spa
Anantapur,IN,77.7,scattered clouds,14.68,77.6,Hotal
Adrar,MR,75.76,clear sky,20.5,-10.07,
